date,season,confederation,league,stage,home_team,away_team,home_score,away_score
,2023-24,CAF,CAF Champions League,Group C,18.00 Al Hilal Omdurman,Petro Atlético,0,0
,2023-24,CAF,CAF Champions League,Group C,21.00 Étoile du Sahel,Espérance de Tunis,0,2
,2023-24,CAF,CAF Champions League,Group C,21.00 Espérance de Tunis,Al Hilal Omdurman,1,0
,2023-24,CAF,CAF Champions League,Group C,Petro Atlético,Étoile du Sahel,2,0
,2023-24,CAF,CAF Champions League,Group D,21.00 CR Bélouizdad,Young Africans,3,0
,2023-24,CAF,CAF Champions League,Group D,21.00 Al Ahly SC,Medeama SC,3,0
,2023-24,CAF,CAF Champions League,Group D,18.00 Medeama SC,CR Bélouizdad,2,1
,2023-24,CAF,CAF Champions League,Group D,18.00 Young Africans,Al Ahly SC,1,1
,2023-24,CAF,CAF Champions League,Group D,18.00 Al Ahly SC,CR Bélouizdad,0,0
,2023-24,CAF,CAF Champions League,Group D,Medeama SC,Young Africans,1,1
,2023-24,CAF,CAF Champions League,Group D,15.00 Young Africans,Medeama SC,3,0
,2023-24,CAF,CAF Champions League,Group D,21.00 CR Bélouizdad,Al Ahly SC,0,0
,2023-24,CAF,CAF Champions League,Group D,18.00 Medeama SC,Al Ahly SC,0,1
,2023-24,CAF,CAF Champions League,Group D,18.00 Young Africans,CR Bélouizdad,4,0
,2023-24,CAF,CAF Champions League,Group D,18.00 Al Ahly SC,Young Africans,1,0
,2023-24,CAF,CAF Champions League,Group D,CR Bélouizdad,Medeama SC,3,0
,2023-24,CAF,CAF Champions League,Quarterfinals,20.00 Simba SC,Al Ahly SC,0,1
,2023-24,CAF,CAF Champions League,Quarterfinals,15.00 TP Mazembe,Petro Atlético,0,0
,2023-24,CAF,CAF Champions League,Quarterfinals,20.00 Young Africans,Mamelodi Sundowns,0,0
,2023-24,CAF,CAF Champions League,Quarterfinals,23.00 Espérance de Tunis,ASEC Mimosas,0,0
,2023-24,CAF,CAF Champions League,Quarterfinals,20.00 Mamelodi Sundowns,Young Africans,3,2
,2023-24,CAF,CAF Champions League,Quarterfinals,22.00 Al Ahly SC,Simba SC,2,0
,2023-24,CAF,CAF Champions League,Quarterfinals,18.00 Petro Atlético,TP Mazembe,1,2
,2023-24,CAF,CAF Champions League,Quarterfinals,22.00 ASEC Mimosas,Espérance de Tunis,1,4
,2023-24,CAF,CAF Champions League,Semifinals,15.00 TP Mazembe,Al Ahly SC,0,0
,2023-24,CAF,CAF Champions League,Semifinals,21.00 Espérance de Tunis,Mamelodi Sundowns,1,0
,2023-24,CAF,CAF Champions League,Semifinals,21.00 Mamelodi Sundowns,Espérance de Tunis,0,1
,2023-24,CAF,CAF Champions League,Semifinals,22.00 Al Ahly SC,TP Mazembe,3,0
,2023-24,CAF,CAF Champions League,Final,22.00 Espérance de Tunis,Al Ahly SC,0,0
,2023-24,CAF,CAF Champions League,Final,20.00 Al Ahly SC,Espérance de Tunis,1,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Violette AC,Austin FC,3,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Alianza,Philadelphia Union,0,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,21.00 UANL Tigres,Orlando City,0,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Tauro FC,Club León,0,1
,2023,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Olimpia,Atlas Guadalajara,4,1
,2023,CONCACAF,CONCACAF Champions League,Round of 16,21.00 Vancouver Whitecaps,Real España,5,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Motagua,CF Pachuca,0,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,21.00 LD Alajuelense,Los Angeles FC,0,3
,2023,CONCACAF,CONCACAF Champions League,Round of 16,18.00 Austin FC,Violette AC,2,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,Philadelphia Union,Alianza,4,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,20.15 Atlas Guadalajara,Olimpia,4,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,16.00 Real España,Vancouver Whitecaps,3,2
,2023,CONCACAF,CONCACAF Champions League,Round of 16,18.15 Orlando City,UANL Tigres,1,1
,2023,CONCACAF,CONCACAF Champions League,Round of 16,20.30 Los Angeles FC,LD Alajuelense,1,2
,2023,CONCACAF,CONCACAF Champions League,Round of 16,18.00 Club León,Tauro FC,2,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,20.15 CF Pachuca,Motagua,1,1
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Philadelphia Union,Atlas Guadalajara,1,0
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 Club León,Violette AC,5,0
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Motagua,UANL Tigres,0,1
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 Vancouver Whitecaps,Los Angeles FC,0,3
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Violette AC,Club León,2,1
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.15 Los Angeles FC,Vancouver Whitecaps,3,0
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 Atlas Guadalajara,Philadelphia Union,2,2
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 UANL Tigres,Motagua,5,0
,2023,CONCACAF,CONCACAF Champions League,Semifinals,20.00 UANL Tigres,Club León,2,1
,2023,CONCACAF,CONCACAF Champions League,Semifinals,19.00 Philadelphia Union,Los Angeles FC,1,1
,2023,CONCACAF,CONCACAF Champions League,Semifinals,20.00 Los Angeles FC,Philadelphia Union,3,0
,2023,CONCACAF,CONCACAF Champions League,Semifinals,20.00 Club León,UANL Tigres,3,1
,2023,CONCACAF,CONCACAF Champions League,Final,20.00 Club León,Los Angeles FC,2,1
,2023,CONCACAF,CONCACAF Champions League,Final,19.00 Los Angeles FC,Club León,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,18.00 AS Arta,Dekedaha FC,0,2
,2024-25,CAF,CAF Champions League,Qual. Round 1,19.00 Milo FC,FC Nouadhibou,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,20.00 Mbabane Swallows,Ferroviário da Beira,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,16.00 Vital'O,Young Africans,0,4
,2024-25,CAF,CAF Champions League,Qual. Round 1,Ngezi Platinum FC,AS Maniema Union,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,African Stars,Jwaneng Galaxy,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,Villa SC,CBE SA Addis Abeba,1,2
,2024-25,CAF,CAF Champions League,Qual. Round 1,17.00 Saint Louis Suns United,GD Sagrada Esperança,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,Red Star Bangui,Djoliba AC,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,18.00 AS GNN Niamey,Raja Casablanca,1,2
,2024-25,CAF,CAF Champions League,Qual. Round 1,19.00 AS Douanes,Coton FC,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,Stade Abidjan,Teungueth FC,1,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,Bo Rangers,FC San Pédro,1,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,20.00 Al Nasr Benghazi,Al Merrikh SC,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,14.00 Disciples FC,Orlando Pirates,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,16.00 Al Merreikh Juba,Gor Mahia FC,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,Big Bullets FC,Red Arrows,2,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,16.30 AC Léopards,CR Bélouizdad,0,2
,2024-25,CAF,CAF Champions League,Qual. Round 1,17.00 US Zilimadjou,Enugu Rangers,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,Victoria United,Samartex,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,AS PSI,US Monastir,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,Deportivo Mongomo,ASKO Kara,2,2
,2024-25,CAF,CAF Champions League,Qual. Round 1,18.00 Azam FC,APR FC,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,Remo Stars,FAR de Rabat,2,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,20.00 JKU FC,Pyramids FC,0,6
,2024-25,CAF,CAF Champions League,Qual. Round 1,Al Ahly Benghazi,Al Hilal Omdurman,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,22.00 Watanga FC,MC Alger,0,2
,2024-25,CAF,CAF Champions League,Qual. Round 1,22.00 MC Alger,Watanga FC,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,17.00 Enugu Rangers,US Zilimadjou,1,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,19.00 Dekedaha FC,AS Arta,3,4
,2024-25,CAF,CAF Champions League,Qual. Round 1,20.30 Orlando Pirates,Disciples FC,4,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,15.00 CBE SA Addis Abeba,Villa SC,1,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,16.00 Red Arrows,Big Bullets FC,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,Al Merrikh SC,Al Nasr Benghazi,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,17.00 Jwaneng Galaxy,African Stars,6,5
,2024-25,CAF,CAF Champions League,Qual. Round 1,17.30 GD Sagrada Esperança,Saint Louis Suns United,3,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,19.00 Young Africans,Vital'O,6,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,APR FC,Azam FC,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,20.00 Pyramids FC,JKU FC,3,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,Teungueth FC,Stade Abidjan,4,5
,2024-25,CAF,CAF Champions League,Qual. Round 1,22.00 Raja Casablanca,AS GNN Niamey,5,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,15.00 Gor Mahia FC,Al Merreikh Juba,5,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,16.00 Ferroviário da Beira,Mbabane Swallows,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,Coton FC,AS Douanes,1,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,Al Hilal Omdurman,Al Ahly Benghazi,1,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,17.30 AS Maniema Union,Ngezi Platinum FC,4,3
,2024-25,CAF,CAF Champions League,Qual. Round 1,18.00 Samartex,Victoria United,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,19.00 US Monastir,AS PSI,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,Djoliba AC,Red Star Bangui,3,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,ASKO Kara,Deportivo Mongomo,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,FC San Pédro,Bo Rangers,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,20.00 FC Nouadhibou,Milo FC,1,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,22.00 CR Bélouizdad,AC Léopards,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,23.00 FAR de Rabat,Remo Stars,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,17.00 Enugu Rangers,GD Sagrada Esperança,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,20.00 US Monastir,MC Alger,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,15.00 CBE SA Addis Abeba,Young Africans,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 2,16.00 Red Arrows,TP Mazembe,0,2
,2024-25,CAF,CAF Champions League,Qual. Round 2,Al Merrikh SC,FAR de Rabat,2,2
,2024-25,CAF,CAF Champions League,Qual. Round 2,17.00 AS Maniema Union,Petro Atlético,2,1
,2024-25,CAF,CAF Champions League,Qual. Round 2,Jwaneng Galaxy,Orlando Pirates,0,2
,2024-25,CAF,CAF Champions League,Qual. Round 2,19.00 APR FC,Pyramids FC,1,1
,2024-25,CAF,CAF Champions League,Qual. Round 2,AS Douanes,CR Bélouizdad,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,Djoliba AC,ASKO Kara,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,21.00 Mbabane Swallows,Mamelodi Sundowns,0,4
,2024-25,CAF,CAF Champions League,Qual. Round 2,15.00 Gor Mahia FC,Al Ahly SC,0,3
,2024-25,CAF,CAF Champions League,Qual. Round 2,18.00 Samartex,Raja Casablanca,2,2
,2024-25,CAF,CAF Champions League,Qual. Round 2,19.00 Dekedaha FC,Espérance de Tunis,1,4
,2024-25,CAF,CAF Champions League,Qual. Round 2,FC San Pédro,Al Hilal Omdurman,2,2
,2024-25,CAF,CAF Champions League,Qual. Round 2,22.00 Stade Abidjan,Milo FC,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,20.00 CR Bélouizdad,AS Douanes,4,3
,2024-25,CAF,CAF Champions League,Qual. Round 2,16.00 TP Mazembe,Red Arrows,2,1
,2024-25,CAF,CAF Champions League,Qual. Round 2,18.00 Petro Atlético,AS Maniema Union,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,19.00 Al Ahly SC,Gor Mahia FC,3,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,Mamelodi Sundowns,Mbabane Swallows,4,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,Orlando Pirates,Jwaneng Galaxy,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,20.30 Young Africans,CBE SA Addis Abeba,6,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,21.00 Espérance de Tunis,Dekedaha FC,8,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,Pyramids FC,APR FC,3,1
,2024-25,CAF,CAF Champions League,Qual. Round 2,22.00 Raja Casablanca,Samartex,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,MC Alger,US Monastir,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,17.30 GD Sagrada Esperança,Enugu Rangers,3,1
,2024-25,CAF,CAF Champions League,Qual. Round 2,19.00 ASKO Kara,Djoliba AC,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 2,Milo FC,Stade Abidjan,2,1
,2024-25,CAF,CAF Champions League,Qual. Round 2,21.00 FAR de Rabat,Al Merrikh SC,2,0
,2024-25,CAF,CAF Champions League,Qual. Round 2,22.00 Al Hilal Omdurman,FC San Pédro,1,0
,2024-25,CAF,CAF Champions League,Group A,15.00 TP Mazembe,MC Alger,0,0
,2024-25,CAF,CAF Champions League,Group A,Young Africans,Al Hilal Omdurman,0,2
,2024-25,CAF,CAF Champions League,Group A,21.00 MC Alger,Young Africans,2,0
,2024-25,CAF,CAF Champions League,Group A,21.00 Al Hilal Omdurman,TP Mazembe,2,1
,2024-25,CAF,CAF Champions League,Group A,15.00 TP Mazembe,Young Africans,1,1
,2024-25,CAF,CAF Champions League,Group A,21.00 MC Alger,Al Hilal Omdurman,0,1
,2024-25,CAF,CAF Champions League,Group A,15.00 Young Africans,TP Mazembe,3,1
,2024-25,CAF,CAF Champions League,Group A,21.00 Al Hilal Omdurman,MC Alger,1,1
,2024-25,CAF,CAF Champions League,Group A,21.00 MC Alger,TP Mazembe,1,0
,2024-25,CAF,CAF Champions League,Group A,21.00 Al Hilal Omdurman,Young Africans,0,1
,2024-25,CAF,CAF Champions League,Group A,15.00 TP Mazembe,Al Hilal Omdurman,4,0
,2024-25,CAF,CAF Champions League,Group A,Young Africans,MC Alger,0,0
,2024-25,CAF,CAF Champions League,Group B,18.00 Mamelodi Sundowns,AS Maniema Union,0,0
,2024-25,CAF,CAF Champions League,Group B,21.00 Raja Casablanca,FAR de Rabat,0,2
,2024-25,CAF,CAF Champions League,Group B,15.00 AS Maniema Union,Raja Casablanca,1,1
,2024-25,CAF,CAF Champions League,Group B,21.00 FAR de Rabat,Mamelodi Sundowns,1,1
,2024-25,CAF,CAF Champions League,Group B,15.00 AS Maniema Union,FAR de Rabat,1,1
,2024-25,CAF,CAF Champions League,Group B,15.00 Mamelodi Sundowns,Raja Casablanca,1,0
,2024-25,CAF,CAF Champions League,Group B,21.00 FAR de Rabat,AS Maniema Union,2,0
,2024-25,CAF,CAF Champions League,Group B,Raja Casablanca,Mamelodi Sundowns,1,0
,2024-25,CAF,CAF Champions League,Group B,15.00 AS Maniema Union,Mamelodi Sundowns,1,2
,2024-25,CAF,CAF Champions League,Group B,21.00 FAR de Rabat,Raja Casablanca,1,1
,2024-25,CAF,CAF Champions League,Group B,18.00 Mamelodi Sundowns,FAR de Rabat,1,1
,2024-25,CAF,CAF Champions League,Group B,Raja Casablanca,AS Maniema Union,1,0
,2024-25,CAF,CAF Champions League,Group C,18.00 Al Ahly SC,Stade Abidjan,4,2
,2024-25,CAF,CAF Champions League,Group C,21.00 CR Bélouizdad,Orlando Pirates,1,2
,2024-25,CAF,CAF Champions League,Group C,15.00 Orlando Pirates,Al Ahly SC,0,0
,2024-25,CAF,CAF Champions League,Group C,18.00 Stade Abidjan,CR Bélouizdad,0,1
,2024-25,CAF,CAF Champions League,Group C,18.00 Stade Abidjan,Orlando Pirates,1,1
,2024-25,CAF,CAF Champions League,Group C,18.00 Al Ahly SC,CR Bélouizdad,6,1
,2024-25,CAF,CAF Champions League,Group C,21.00 CR Bélouizdad,Al Ahly SC,1,0
,2024-25,CAF,CAF Champions League,Group C,18.00 Orlando Pirates,Stade Abidjan,3,0
,2024-25,CAF,CAF Champions League,Group C,18.00 Stade Abidjan,Al Ahly SC,1,3
,2024-25,CAF,CAF Champions League,Group C,15.00 Orlando Pirates,CR Bélouizdad,2,1
,2024-25,CAF,CAF Champions League,Group C,18.00 Al Ahly SC,Orlando Pirates,1,2
,2024-25,CAF,CAF Champions League,Group C,CR Bélouizdad,Stade Abidjan,6,0
,2024-25,CAF,CAF Champions League,Group D,18.00 Pyramids FC,GD Sagrada Esperança,5,1
,2024-25,CAF,CAF Champions League,Group D,21.00 Espérance de Tunis,Djoliba AC,4,0
,2024-25,CAF,CAF Champions League,Group D,18.00 GD Sagrada Esperança,Espérance de Tunis,0,0
,2024-25,CAF,CAF Champions League,Group D,18.00 Djoliba AC,Pyramids FC,0,0
,2024-25,CAF,CAF Champions League,Group D,21.00 Espérance de Tunis,Pyramids FC,2,0
,2024-25,CAF,CAF Champions League,Group D,18.00 Djoliba AC,GD Sagrada Esperança,0,0
,2024-25,CAF,CAF Champions League,Group D,18.00 GD Sagrada Esperança,Djoliba AC,1,0
,2024-25,CAF,CAF Champions League,Group D,Pyramids FC,Espérance de Tunis,2,1
,2024-25,CAF,CAF Champions League,Group D,18.00 GD Sagrada Esperança,Pyramids FC,0,1
,2024-25,CAF,CAF Champions League,Group D,18.00 Djoliba AC,Espérance de Tunis,0,1
,2024-25,CAF,CAF Champions League,Group D,21.00 Espérance de Tunis,GD Sagrada Esperança,4,1
,2024-25,CAF,CAF Champions League,Group D,Pyramids FC,Djoliba AC,6,0
,2024-25,CAF,CAF Champions League,Quarterfinals,15.00 Mamelodi Sundowns,Espérance de Tunis,1,0
,2024-25,CAF,CAF Champions League,Quarterfinals,21.00 Al Ahly SC,Al Hilal Omdurman,1,0
,2024-25,CAF,CAF Champions League,Quarterfinals,Pyramids FC,FAR de Rabat,4,1
,2024-25,CAF,CAF Champions League,Quarterfinals,MC Alger,Orlando Pirates,0,1
,2024-25,CAF,CAF Champions League,Quarterfinals,21.00 Al Hilal Omdurman,Al Ahly SC,0,1
,2024-25,CAF,CAF Champions League,Quarterfinals,FAR de Rabat,Pyramids FC,2,0
,2024-25,CAF,CAF Champions League,Quarterfinals,Espérance de Tunis,Mamelodi Sundowns,0,0
,2024-25,CAF,CAF Champions League,Quarterfinals,18.00 Orlando Pirates,MC Alger,0,0
,2024-25,CAF,CAF Champions League,Semifinals,15.00 Mamelodi Sundowns,Al Ahly SC,0,0
,2024-25,CAF,CAF Champions League,Semifinals,18.00 Orlando Pirates,Pyramids FC,0,0
,2024-25,CAF,CAF Champions League,Semifinals,19.00 Al Ahly SC,Mamelodi Sundowns,1,1
,2024-25,CAF,CAF Champions League,Semifinals,21.00 Pyramids FC,Orlando Pirates,3,2
,2024,CONCACAF,CONCACAF Champions League,Round 1,19.00 Comunicaciones,CF Monterrey,1,4
,2024,CONCACAF,CONCACAF Champions League,Round 1,21.00 Real Estelí FC,CF América,2,1
,2024,CONCACAF,CONCACAF Champions League,Round 1,17.00 CS Herediano,Deportivo Toluca,1,2
,2024,CONCACAF,CONCACAF Champions League,Round 1,19.00 Forge FC,Deportivo Guadalajara,1,3
,2024,CONCACAF,CONCACAF Champions League,Round 1,21.00 Vancouver Whitecaps,UANL Tigres,1,1
,2024,CONCACAF,CONCACAF Champions League,Round 1,19.00 St. Louis City SC,Houston Dynamo,2,1
,2024,CONCACAF,CONCACAF Champions League,Round 1,21.00 Deportivo Saprissa,Philadelphia Union,2,3
,2024,CONCACAF,CONCACAF Champions League,Round 1,19.00 Independiente de La Chorrera,New England Revolution,0,1
,2024,CONCACAF,CONCACAF Champions League,Round 1,21.00 Cavalry FC,Orlando City,0,3
,2024,CONCACAF,CONCACAF Champions League,Round 1,18.00 Moca FC,Nashville SC,0,3
,2024,CONCACAF,CONCACAF Champions League,Round 1,20.00 Cavalier FC,FC Cincinnati,0,2
,2024,CONCACAF,CONCACAF Champions League,Round 1,21.00 Deportivo Guadalajara,Forge FC,2,1
,2024,CONCACAF,CONCACAF Champions League,Round 1,19.00 UANL Tigres,Vancouver Whitecaps,3,0
,2024,CONCACAF,CONCACAF Champions League,Round 1,21.15 CF América,Real Estelí FC,2,0
,2024,CONCACAF,CONCACAF Champions League,Round 1,19.00 Deportivo Toluca,CS Herediano,2,3
,2024,CONCACAF,CONCACAF Champions League,Round 1,21.15 CF Monterrey,Comunicaciones,3,0
,2024,CONCACAF,CONCACAF Champions League,Round 1,17.00 Orlando City,Cavalry FC,3,1
,2024,CONCACAF,CONCACAF Champions League,Round 1,19.15 Philadelphia Union,Deportivo Saprissa,3,3
,2024,CONCACAF,CONCACAF Champions League,Round 1,21.30 Houston Dynamo,St. Louis City SC,1,0
,2024,CONCACAF,CONCACAF Champions League,Round 1,18.00 FC Cincinnati,Cavalier FC,4,0
,2024,CONCACAF,CONCACAF Champions League,Round 1,20.15 Nashville SC,Moca FC,4,0
,2024,CONCACAF,CONCACAF Champions League,Round 1,19.15 New England Revolution,Independiente de La Chorrera,3,0
,2024,CONCACAF,CONCACAF Champions League,Round of 16,16.00 CS Herediano,SV Robinhood,2,0
,2024,CONCACAF,CONCACAF Champions League,Round of 16,18.00 Philadelphia Union,CF Pachuca,0,0
,2024,CONCACAF,CONCACAF Champions League,Round of 16,20.00 Orlando City,UANL Tigres,0,0
,2024,CONCACAF,CONCACAF Champions League,Round of 16,17.00 New England Revolution,LD Alajuelense,4,0
,2024,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Houston Dynamo,Columbus Crew,0,1
,2024,CONCACAF,CONCACAF Champions League,Round of 16,21.00 Deportivo Guadalajara,CF América,0,3
,2024,CONCACAF,CONCACAF Champions League,Round of 16,18.00 FC Cincinnati,CF Monterrey,0,1
,2024,CONCACAF,CONCACAF Champions League,Round of 16,20.00 Nashville SC,Inter Miami CF,2,2
,2024,CONCACAF,CONCACAF Champions League,Round of 16,16.00 Columbus Crew,Houston Dynamo,1,1
,2024,CONCACAF,CONCACAF Champions League,Round of 16,18.15 CF Pachuca,Philadelphia Union,6,0
,2024,CONCACAF,CONCACAF Champions League,Round of 16,20.30 UANL Tigres,Orlando City,4,2
,2024,CONCACAF,CONCACAF Champions League,Round of 16,16.00 SV Robinhood,CS Herediano,1,1
,2024,CONCACAF,CONCACAF Champions League,Round of 16,18.15 Inter Miami CF,Nashville SC,3,1
,2024,CONCACAF,CONCACAF Champions League,Round of 16,20.30 CF América,Deportivo Guadalajara,2,3
,2024,CONCACAF,CONCACAF Champions League,Round of 16,18.00 LD Alajuelense,New England Revolution,1,1
,2024,CONCACAF,CONCACAF Champions League,Round of 16,20.15 CF Monterrey,FC Cincinnati,2,1
,2024,CONCACAF,CONCACAF Champions League,Quarterfinals,18.45 Columbus Crew,UANL Tigres,1,1
,2024,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 New England Revolution,CF América,0,4
,2024,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Inter Miami CF,CF Monterrey,1,2
,2024,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 CS Herediano,CF Pachuca,0,5
,2024,CONCACAF,CONCACAF Champions League,Quarterfinals,18.45 UANL Tigres,Columbus Crew,3,4
,2024,CONCACAF,CONCACAF Champions League,Quarterfinals,20.30 CF América,New England Revolution,5,2
,2024,CONCACAF,CONCACAF Champions League,Quarterfinals,18.15 CF Pachuca,CS Herediano,2,1
,2024,CONCACAF,CONCACAF Champions League,Quarterfinals,20.30 CF Monterrey,Inter Miami CF,3,1
,2024,CONCACAF,CONCACAF Champions League,Semifinals,20.15 CF América,CF Pachuca,1,1
,2024,CONCACAF,CONCACAF Champions League,Semifinals,18.15 Columbus Crew,CF Monterrey,2,1
,2024,CONCACAF,CONCACAF Champions League,Semifinals,19.15 CF Pachuca,CF América,2,1
,2024,CONCACAF,CONCACAF Champions League,Semifinals,20.15 CF Monterrey,Columbus Crew,1,3
,2024,CONCACAF,CONCACAF Champions League,Final,19.15 CF Pachuca,Columbus Crew,3,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 Real Hope,Cruz Azul,0,2
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 Forge FC,CF Monterrey,0,2
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.00 Real Estelí FC,UANL Tigres,1,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 Cibao FC,Deportivo Guadalajara,1,1
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.00 Cavalry FC,Pumas UNAM,2,1
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.00 Colorado Rapids,Los Angeles FC,2,1
,2025,CONCACAF,CONCACAF Champions League,Round 1,17.30 CS Herediano,Real Salt Lake,0,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 Sporting Kansas City,Inter Miami CF,0,1
,2025,CONCACAF,CONCACAF Champions League,Round 1,Antigua GFC,Seattle Sounders,1,3
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.00 Motagua,FC Cincinnati,1,4
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 Deportivo Saprissa,Vancouver Whitecaps,2,1
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 CF Monterrey,Forge FC,3,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.00 Cruz Azul,Real Hope,5,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 Deportivo Guadalajara,Cibao FC,3,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.00 UANL Tigres,Real Estelí FC,3,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 Pumas UNAM,Cavalry FC,2,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.00 Inter Miami CF,Sporting Kansas City,3,1
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.00 Los Angeles FC,Colorado Rapids,1,0
,2025,CONCACAF,CONCACAF Champions League,Round 1,17.30 FC Cincinnati,Motagua,1,1
,2025,CONCACAF,CONCACAF Champions League,Round 1,19.30 Real Salt Lake,CS Herediano,1,2
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.30 Seattle Sounders,Antigua GFC,3,1
